Similarity_threshold,Similarity,baseline_affected,parameter_count,baseline_all
6.9,0.43089430894308944,0.08870967741935484,124.0,0.5997
7.0,0.43089430894308944,0.08870967741935484,124.0,0.5997
7.1,0.43089430894308944,0.08870967741935484,124.0,0.5997
7.2,0.4344262295081967,0.08943089430894309,123.0,0.5997
7.3,0.4344262295081967,0.08943089430894309,123.0,0.5997
7.4,0.4344262295081967,0.08943089430894309,123.0,0.5997
7.5,0.4344262295081967,0.08943089430894309,123.0,0.5997
7.6,0.4344262295081967,0.08943089430894309,123.0,0.5997
7.7,0.4297520661157025,0.09016393442622951,122.0,0.5997
7.8,0.4297520661157025,0.09016393442622951,122.0,0.5997
7.9,0.425,0.09090909090909091,121.0,0.5997
8.0,0.4188034188034188,0.09322033898305085,118.0,0.5997
8.1,0.40869565217391307,0.09482758620689655,116.0,0.5997
8.2,0.415929203539823,0.09649122807017543,114.0,0.5997
8.3,0.415929203539823,0.09649122807017543,114.0,0.5997
8.4,0.415929203539823,0.09649122807017543,114.0,0.5997
8.5,0.415929203539823,0.09649122807017543,114.0,0.5997
8.6,0.4107142857142857,0.09734513274336283,113.0,0.5997
8.7,0.4107142857142857,0.09734513274336283,113.0,0.5997
8.8,0.4107142857142857,0.09734513274336283,113.0,0.5997
8.9,0.4107142857142857,0.09734513274336283,113.0,0.5997
9.0,0.4107142857142857,0.09734513274336283,113.0,0.5997
9.1,0.4107142857142857,0.09734513274336283,113.0,0.5997
9.2,0.4107142857142857,0.09734513274336283,113.0,0.5997
9.3,0.4144144144144144,0.09821428571428571,112.0,0.5997
9.4,0.4144144144144144,0.09821428571428571,112.0,0.5997
9.5,0.4144144144144144,0.09821428571428571,112.0,0.5997
9.6,0.4144144144144144,0.09821428571428571,112.0,0.5997
9.7,0.4144144144144144,0.09821428571428571,112.0,0.5997
9.8,0.4144144144144144,0.09821428571428571,112.0,0.5997
9.9,0.4144144144144144,0.09821428571428571,112.0,0.5997
10.0,0.4090909090909091,0.0990990990990991,111.0,0.5997
10.1,0.4090909090909091,0.0990990990990991,111.0,0.5997
10.2,0.4090909090909091,0.0990990990990991,111.0,0.5997
10.3,0.41284403669724773,0.1,110.0,0.5997
10.4,0.41284403669724773,0.1,110.0,0.5997
10.5,0.41284403669724773,0.1,110.0,0.5997
10.6,0.41284403669724773,0.1,110.0,0.5997
10.7,0.41284403669724773,0.1,110.0,0.5997
10.8,0.4166666666666667,0.10091743119266056,109.0,0.5997
10.9,0.4166666666666667,0.10091743119266056,109.0,0.5997
11.0,0.4166666666666667,0.10091743119266056,109.0,0.5997
11.1,0.4166666666666667,0.10091743119266056,109.0,0.5997
11.2,0.411214953271028,0.10185185185185185,108.0,0.5997
11.3,0.41509433962264153,0.102803738317757,107.0,0.5997
11.4,0.41509433962264153,0.102803738317757,107.0,0.5997
11.5,0.41509433962264153,0.102803738317757,107.0,0.5997
11.6,0.41509433962264153,0.102803738317757,107.0,0.5997
11.7,0.4230769230769231,0.09523809523809523,105.0,0.5997
11.8,0.4230769230769231,0.09523809523809523,105.0,0.5997
11.9,0.4230769230769231,0.09523809523809523,105.0,0.5997
12.0,0.4230769230769231,0.09523809523809523,105.0,0.5997
12.1,0.42718446601941745,0.09615384615384616,104.0,0.5997
12.2,0.43137254901960786,0.0970873786407767,103.0,0.5997
12.3,0.43137254901960786,0.0970873786407767,103.0,0.5997
12.4,0.43137254901960786,0.0970873786407767,103.0,0.5997
12.5,0.43137254901960786,0.0970873786407767,103.0,0.5997
12.6,0.43137254901960786,0.0970873786407767,103.0,0.5997
12.7,0.43137254901960786,0.0970873786407767,103.0,0.5997
12.8,0.43564356435643564,0.09803921568627451,102.0,0.5997
12.9,0.43564356435643564,0.09803921568627451,102.0,0.5997
13.0,0.43564356435643564,0.09803921568627451,102.0,0.5997
13.1,0.43564356435643564,0.09803921568627451,102.0,0.5997
13.2,0.43564356435643564,0.09803921568627451,102.0,0.5997
13.3,0.4782608695652174,0.010752688172043012,93.0,0.5997
13.4,0.4782608695652174,0.010752688172043012,93.0,0.5997
13.5,0.4782608695652174,0.010752688172043012,93.0,0.5997
13.6,0.4782608695652174,0.010752688172043012,93.0,0.5997
13.7,0.4782608695652174,0.010752688172043012,93.0,0.5997
13.8,0.4782608695652174,0.010752688172043012,93.0,0.5997
13.9,0.4782608695652174,0.010752688172043012,93.0,0.5997
14.0,0.4782608695652174,0.010752688172043012,93.0,0.5997
14.1,0.4782608695652174,0.010752688172043012,93.0,0.5997
14.2,0.4782608695652174,0.010752688172043012,93.0,0.5997
14.3,0.4782608695652174,0.010752688172043012,93.0,0.5997
14.4,0.4835164835164835,0.010869565217391304,92.0,0.5997
14.5,0.4835164835164835,0.010869565217391304,92.0,0.5997
14.6,0.4835164835164835,0.010869565217391304,92.0,0.5997
14.7,0.4835164835164835,0.010869565217391304,92.0,0.5997
14.8,0.4835164835164835,0.010869565217391304,92.0,0.5997
14.9,0.4835164835164835,0.010869565217391304,92.0,0.5997
15.0,0.4835164835164835,0.010869565217391304,92.0,0.5997
15.1,0.4835164835164835,0.010869565217391304,92.0,0.5997
15.2,0.4835164835164835,0.010869565217391304,92.0,0.5997
15.3,0.4888888888888889,0.01098901098901099,91.0,0.5997
15.4,0.4888888888888889,0.01098901098901099,91.0,0.5997
15.5,0.4943820224719101,0.011111111111111112,90.0,0.5997
15.6,0.4943820224719101,0.011111111111111112,90.0,0.5997
15.7,0.5,0.011235955056179775,89.0,0.5997
15.8,0.5,0.011235955056179775,89.0,0.5997
15.9,0.5,0.011235955056179775,89.0,0.5997
16.0,0.5,0.011235955056179775,89.0,0.5997
16.1,0.5,0.011235955056179775,89.0,0.5997
16.2,0.5,0.011235955056179775,89.0,0.5997
16.3,0.5,0.011235955056179775,89.0,0.5997
16.4,0.5,0.011235955056179775,89.0,0.5997
16.5,0.5,0.011235955056179775,89.0,0.5997
16.6,0.5,0.011235955056179775,89.0,0.5997
16.7,0.5,0.011235955056179775,89.0,0.5997
16.8,0.5,0.011235955056179775,89.0,0.5997
16.9,0.5,0.011235955056179775,89.0,0.5997
17.0,0.5,0.011235955056179775,89.0,0.5997
17.1,0.5,0.011235955056179775,89.0,0.5997
17.2,0.5,0.011235955056179775,89.0,0.5997
17.3,0.5057471264367817,0.0,88.0,0.5997
17.4,0.5057471264367817,0.0,88.0,0.5997
17.5,0.5057471264367817,0.0,88.0,0.5997
17.6,0.5057471264367817,0.0,88.0,0.5997
17.7,0.5057471264367817,0.0,88.0,0.5997
17.8,0.5057471264367817,0.0,88.0,0.5997
17.9,0.5057471264367817,0.0,88.0,0.5997
18.0,0.5057471264367817,0.0,88.0,0.5997
18.1,0.5057471264367817,0.0,88.0,0.5997
18.2,0.5116279069767442,0.0,87.0,0.5997
18.3,0.5116279069767442,0.0,87.0,0.5997
18.4,0.5116279069767442,0.0,87.0,0.5997
18.5,0.5116279069767442,0.0,87.0,0.5997
18.6,0.5116279069767442,0.0,87.0,0.5997
18.7,0.5116279069767442,0.0,87.0,0.5997
18.8,0.5116279069767442,0.0,87.0,0.5997
18.9,0.5116279069767442,0.0,87.0,0.5997
19.0,0.5116279069767442,0.0,87.0,0.5997
19.1,0.5116279069767442,0.0,87.0,0.5997
19.2,0.5116279069767442,0.0,87.0,0.5997
19.3,0.5116279069767442,0.0,87.0,0.5997
19.4,0.5116279069767442,0.0,87.0,0.5997
19.5,0.5116279069767442,0.0,87.0,0.5997
19.6,0.5116279069767442,0.0,87.0,0.5997
19.7,0.5116279069767442,0.0,87.0,0.5997
19.8,0.5116279069767442,0.0,87.0,0.5997
19.9,0.5116279069767442,0.0,87.0,0.5997
20.0,0.5116279069767442,0.0,87.0,0.5997
20.1,0.5116279069767442,0.0,87.0,0.5997
20.2,0.5116279069767442,0.0,87.0,0.5997
20.3,0.5116279069767442,0.0,87.0,0.5997
20.4,0.5116279069767442,0.0,87.0,0.5997
20.5,0.5116279069767442,0.0,87.0,0.5997
20.6,0.5116279069767442,0.0,87.0,0.5997
20.7,0.5116279069767442,0.0,87.0,0.5997
20.8,0.5116279069767442,0.0,87.0,0.5997
20.9,0.5116279069767442,0.0,87.0,0.5997
21.0,0.5058823529411764,0.0,86.0,0.5997
21.1,0.5058823529411764,0.0,86.0,0.5997
21.2,0.5058823529411764,0.0,86.0,0.5997
21.3,0.5058823529411764,0.0,86.0,0.5997
21.4,0.5058823529411764,0.0,86.0,0.5997
21.5,0.5058823529411764,0.0,86.0,0.5997
21.6,0.5058823529411764,0.0,86.0,0.5997
21.7,0.5058823529411764,0.0,86.0,0.5997
21.8,0.5058823529411764,0.0,86.0,0.5997
21.9,0.5058823529411764,0.0,86.0,0.5997
22.0,0.5058823529411764,0.0,86.0,0.5997
22.1,0.5058823529411764,0.0,86.0,0.5997
22.2,0.5058823529411764,0.0,86.0,0.5997
22.3,0.5058823529411764,0.0,86.0,0.5997
22.4,0.5058823529411764,0.0,86.0,0.5997
