Skewness_threshold,Skewness,baseline_affected,parameter_count,baseline_all
0.48,0.27564102564102566,0.4840764331210191,157.0,0.5997
0.49,0.26973684210526316,0.49673202614379086,153.0,0.5997
0.5,0.2638888888888889,0.4896551724137931,145.0,0.5997
0.51,0.2642857142857143,0.48936170212765956,141.0,0.5997
0.52,0.25547445255474455,0.4927536231884058,138.0,0.5997
0.53,0.20909090909090908,0.5315315315315315,111.0,0.5997
0.54,0.2169811320754717,0.5233644859813084,107.0,0.5997
0.55,0.22340425531914893,0.5157894736842106,95.0,0.5997
0.56,0.19767441860465115,0.5287356321839081,87.0,0.5997
0.57,0.18518518518518517,0.5487804878048781,82.0,0.5997
0.58,0.15789473684210525,0.5714285714285714,77.0,0.5997
0.59,0.1076923076923077,0.6461538461538462,65.0,0.5997
0.6,0.07142857142857142,0.6964285714285714,56.0,0.5997
0.61,0.07272727272727272,0.7090909090909091,55.0,0.5997
0.62,0.07272727272727272,0.7090909090909091,55.0,0.5997
0.63,0.07547169811320754,0.7169811320754716,53.0,0.5997
0.64,0.0784313725490196,0.7058823529411765,51.0,0.5997
0.65,0.06521739130434782,0.6956521739130435,46.0,0.5997
0.66,0.046511627906976744,0.6976744186046512,43.0,0.5997
0.67,0.058823529411764705,0.6470588235294118,34.0,0.5997
0.68,0.0625,0.625,32.0,0.5997
0.69,0.06451612903225806,0.6129032258064516,31.0,0.5997
0.7,0.06666666666666667,0.6,30.0,0.5997
0.71,0.06666666666666667,0.6,30.0,0.5997
0.72,0.06666666666666667,0.6,30.0,0.5997
0.73,0.06666666666666667,0.6,30.0,0.5997
0.74,0.08,0.6,25.0,0.5997
0.75,0.10526315789473684,0.631578947368421,19.0,0.5997
0.76,0.10526315789473684,0.631578947368421,19.0,0.5997
0.77,0.1111111111111111,0.6111111111111112,18.0,0.5997
0.78,0.125,0.5625,16.0,0.5997
0.79,0.125,0.5625,16.0,0.5997
0.8,0.14285714285714285,0.5,14.0,0.5997
0.81,0.16666666666666666,0.5,12.0,0.5997
0.82,0.16666666666666666,0.5,12.0,0.5997
0.83,0.18181818181818182,0.5454545454545454,11.0,0.5997
0.84,0.18181818181818182,0.5454545454545454,11.0,0.5997
0.85,0.18181818181818182,0.5454545454545454,11.0,0.5997
0.86,0.2222222222222222,0.6666666666666666,9.0,0.5997
0.87,0.2222222222222222,0.6666666666666666,9.0,0.5997
0.88,0.4,0.6,5.0,0.5997
0.89,0.5,0.5,4.0,0.5997
0.9,0.6666666666666666,0.3333333333333333,3.0,0.5997
0.91,0.6666666666666666,0.3333333333333333,3.0,0.5997
0.92,0.6666666666666666,0.3333333333333333,3.0,0.5997
0.93,1.0,0.0,2.0,0.5997
0.94,1.0,0.0,2.0,0.5997
